Title,Entity,Nationality,Country,From,To,Prohibited Practice,Source,Tipo de sancion del BID,IDB Sanction Source,Other Name
Mr. Klemen Jerin,Individual,Germany," Congo",2020-03-16T00:00,2025-08-24 00:00:00," Corruption",WBG cross debarment,NULL,NULL,NULL
Vodokanalproekt- Metalproect lngeneering AD,Firm,Bulgaria," Lebanon",2020-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Sisira Kumara Kumaragamage Don,Individual,Australia," Azerbaijan",2020-03-30T00:00,Ongoing," Fraud, Coercion, Obstruction",ADB cross debarment,NULL,NULL,NULL
Lei Sitao,Individual,China," China",2020-04-02T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
"Yunnan Jincheng Construction Engineering Co., Ltd.",Firm,China," China",2020-04-03T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
BEULAH UNIVERSAL LINK RESOURCES LIMITED,Firm,Nigeria," Nigeria",2020-04-06T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
LAO-AEC Consulting Co. Ltd.,Firm,Lao People's Democratic Republic," Lao People's Democratic Republic",2020-04-15T00:00,2024-12-17 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
LLC “Conmarks”,Firm,Tajikistan," Tajikistan",2020-04-21T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Puriholi Nigeria,Firm,Nigeria," Nigeria",2020-05-08T00:00,2026-11-20 00:00:00," Corruption, Fraud",WBG cross debarment,NULL,NULL,NULL
Mayor Ejiro Hasting,Individual,Nigeria," Nigeria",2020-05-08T00:00,2026-11-20 00:00:00," Corruption, Fraud",WBG cross debarment,NULL,NULL,NULL
Fedders Lloyd Corporation Limited,Firm,India," Nigeria",2020-05-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Fedders Electric & Engineering Ltd.,Firm,India," Nigeria",2020-05-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Lloyd Electrical & Engineering Limited ",Firm,India," Nigeria",2020-05-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Regal Information Technology Private Limited ",Firm,India," Nigeria",2020-05-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Airserco Private Limited,Firm,India," Nigeria",2020-05-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Lloyd Infotech (India) Private Limited,Firm,India," Nigeria",2020-05-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
PSL Engineering Pvt. Ltd.,Firm,India," Nigeria",2020-05-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"CHINA ZHONGHAO NIGERIA LIMITED ",Firm,Nigeria," Nigeria",2020-05-13T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
Mega-Mebiko JV LLC,Firm,Uzbekistan," Uzbekistan",2020-05-13T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Industrial Investment Group LLC ",Firm,Belarus," Belarus",2020-05-26T00:00,2026-05-05 00:00:00," Fraud",WBG cross debarment,NULL,NULL,NULL
Liaoning-EFACEC Electrical Equipment Company Limited,Firm,China," Zambia",2020-05-26T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"James Tinnion-Morgan ",Individual,United Kingdom of Great Britain and Northern Ireland," Vietnam",2020-05-26T00:00,2026-05-11 00:00:00," Corruption, Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
MR. NGUYEN PHUONG,Individual,Vietnam," Vietnam",2016-02-03T00:00,2026-12-14 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
An Hoa Limited Company,Firm,Vietnam," Vietnam",2016-09-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Ngo Dung Toan,Individual,Vietnam," Vietnam",2016-09-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Social and Environmental Development Joint Stock Company (SECO),Firm,Vietnam," Vietnam",2011-10-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Asia Pacific Consultant Joint Stock Company,Firm,Vietnam," Vietnam",2018-12-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
HanoiTC Expert Joint Stock Company,Firm,Vietnam," Vietnam",2018-12-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Software Development and IT Solution Joint Stock Company (""CadPro., Jsc."")",Firm,Vietnam," Vietnam",2019-04-02T00:00,2028-11-24 00:00:00," Fraud, Collusion, Obstruction",WBG cross debarment,NULL,NULL,NULL
Mr. Nguyn Xuan Doan,Individual,Vietnam," Vietnam",2011-10-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
SFC Vietnam Investment Development for Environment Corporation,Firm,Vietnam," Vietnam",2016-02-03T00:00,2025-12-14 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Tang Chi Anh,Individual,Vietnam," Vietnam",2018-12-06T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Thang Loi Group Co., Ltd.",Firm,Vietnam," Vietnam",2016-04-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Sao Bac Dau Technologies Corporation,Firm,Vietnam," Vietnam",2020-07-08T00:00,2027-06-22 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Aaron Ingenieros Constructores & Consultores E.I.R.L.,Firm,Peru," Peru",2020-07-17T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Carlos Estuardo Cabrera,Individual,Guatemala," Guatemala",2020-07-28T00:00,2033-07-27 00:00:00," Corruption, Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
"Representaciones Comerciales y Distribuidora Total S.A. ",Firm,Guatemala," Guatemala",2020-07-28T00:00,2033-07-27 00:00:00," Corruption, Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Corporación Sireco S.A.,Firm,Guatemala," Guatemala",2020-07-28T00:00,2033-07-27 00:00:00," Corruption, Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Comercializadora Intercontinental CEC. S.A.,Firm,Guatemala," Guatemala",2020-07-28T00:00,2033-07-27 00:00:00," Corruption, Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Cesa de Guatemala S.A.,Firm,Guatemala," Guatemala",2020-07-28T00:00,2030-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Grupo Cesa Corporation Holdings S.A.,Firm,Costa Rica," Guatemala",2020-07-28T00:00,2030-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Cesa de Nicarágua S.A.,Firm,Nicaragua," Guatemala",2020-07-28T00:00,2026-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Cesa Tecnología de México S.A.,Firm,Mexico," Guatemala",2020-07-28T00:00,2026-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Cesa de Panamá S.A.,Firm,Panama," Guatemala",2020-07-28T00:00,2026-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Control Electrónico S.A.,Firm,El Salvador," Guatemala",2020-07-28T00:00,2026-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Cesa de Honduras S.A.,Firm,Honduras," Guatemala",2020-07-28T00:00,2026-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Cesa Tecnología de Guatemala S.A.,Firm,Guatemala," Guatemala",2020-07-28T00:00,2030-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Salvador Duart,Individual,Spain," Barbados",2020-07-07T00:00,2026-07-06 00:00:00," Corruption, Collusion",IDB,Debarment,SOFF,Sanctions Officer
BDCTEC International SL.,Firm,Spain," Barbados",2020-07-07T00:00,2026-07-06 00:00:00," Corruption, Collusion",IDB,Debarment,SOFF,Sanctions Officer
"Flowbird Société par Actions Simplifiée (formerly operating as: Parkeon Société par Actions Simplifiée) ",Firm,France," Vietnam",2020-08-03T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Flowbird Transport Limited (formerly operating as: Parkeon Transit Limited),Firm,United Kingdom of Great Britain and Northern Ireland," Vietnam",2020-08-03T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Swansea Tools Resources,Firm,Nigeria," Nigeria",2020-08-06T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Founder International (Beijing) Co., Ltd.",Firm,China," China",2020-08-06T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Sao Bac Dau Technologies Solutions Joint Stock Company,Firm,Vietnam," Vietnam",2020-07-08T00:00,2027-06-22 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Sao Bac Dau South Technology Joint Stock Company,Firm,Vietnam," Vietnam",2020-07-08T00:00,2027-06-22 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Sao Bac Dau Telecom Joint Stock Company,Firm,Vietnam," Vietnam",2020-07-08T00:00,2027-06-22 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Sao Bac Dau Technology Service Joint Stock Company,Firm,Vietnam," Vietnam",2020-07-08T00:00,2027-06-22 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Cesa Tecnología de El Salvador S.A. de C.V,Firm,El Salvador," Guatemala",2020-07-28T00:00,2026-07-27 00:00:00," Corruption, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Sistemas Sólidos de Guatemala S.A.,Firm,Guatemala," Guatemala",2020-07-28T00:00,2033-07-27 00:00:00," Corruption, Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
GEO Sciences International SARL,Firm,Cameroon," Congo",2020-08-24T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
"CASS Constructores S.A.S. ",Firm,Colombia," Colombia",2020-09-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Zhongyun Construction Holding Co., Ltd. ",Firm,China," China",2020-09-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
SANGTECH INTERNATIONAL SERVICES LIMITED,Firm,Nigeria," Nigeria",2020-09-25T00:00,Ongoing," Fraud, Collusion",AfDB cross debarment,NULL,NULL,NULL
SANGAR & ASSOCIATES (NIGERIA) LIMITED,Firm,Nigeria," Nigeria",2020-09-25T00:00,Ongoing," Fraud, Collusion",AfDB cross debarment,NULL,NULL,NULL
MASHAD INTEGRATED AND INVESTMENT CO. LIMITED,Firm,Nigeria," Nigeria",2020-09-25T00:00,Ongoing," Fraud, Collusion",AfDB cross debarment,NULL,NULL,NULL
MEDNIZA GLOBAL MERCHANTS LIMITED,Firm,Nigeria," Nigeria",2020-09-25T00:00,Ongoing," Fraud, Collusion",AfDB cross debarment,NULL,NULL,NULL
Maria Benilda Sandoval Valdéz,Individual,Guatemala," Guatemala",2020-07-28T00:00,2033-07-27 00:00:00," Corruption, Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Bofra S.A.R.L.,Firm,Democratic Republic of the Congo," Democratic Republic of the Congo",2012-06-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Kairos Construtora Ltda.,Firm,Brazil," Brazil",2020-10-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Roberto Siqueira Nuñes,Individual,Brazil," Brazil",2020-10-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Zhang Qun,Individual,China," China",2020-11-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Arladi General Trading Company Ltd.,Firm,Somalia," Somalia",2020-11-20T00:00,2027-11-02 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
A2Z Infra Engineering Limited (Previously known as A2Z Maintenance & Engineering Services Limited),Firm,India," India",2020-11-24T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Juckon Construction and Allied Services Nigeria Limited,Firm,Nigeria," Nigeria",2020-12-08T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Satish Chandra Mishra,Individual,United Kingdom of Great Britain and Northern Ireland," Indonesia",2020-12-08T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
PT Strategic Asia,Firm,Indonesia," Indonesia",2020-12-08T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
"Strategic Asia Global, Ltd.",Firm,United Kingdom of Great Britain and Northern Ireland," Indonesia",2020-12-08T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Xi'an Jiaxiang Automobile Service Co. Ltd.,Firm,China," China",2020-12-08T00:00,2026-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Tian Xiaoyang,Individual,China," China",2020-12-08T00:00,2026-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Jing Yapeng,Individual,China," China",2020-12-08T00:00,2026-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Zhao Xu,Individual,China," China",2020-12-08T00:00,2026-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Zeng Xianglin,Individual,China," China",2020-12-08T00:00,2025-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Shaanxi Jiaming Industry Co. Ltd.,Firm,China," China",2020-12-08T00:00,2025-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Ren Chao,Individual,China," China",2020-12-08T00:00,2025-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Liu Lijun,Individual,China," China",2020-12-08T00:00,2025-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Shaanxi Hongyi Automobile Sales and Service Co. Ltd.,Firm,China," China",2020-12-08T00:00,2025-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Shaanxi Beisheng Dongfeng Automobile Sales and Service Co. Ltd.,Firm,China," China",2020-12-08T00:00,2025-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Shaanxi Huaxing New Century Automobile Service Trade Co. Ltd.,Firm,China," China",2020-12-08T00:00,2025-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
Yang Ting,Individual,China," China",2020-12-08T00:00,2025-08-07 00:00:00," Fraud, Collusion",ADB cross debarment,NULL,NULL,NULL
NovoLine Resources L.P.,Firm,United Kingdom of Great Britain and Northern Ireland," Uzbekistan",2020-12-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Ms. Okafor Glory,Individual,Nigeria," Nigeria",2020-12-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Speedtech Energy Co. Ltd.,Firm,Taiwan (Republic of China)," Burkina Faso",2020-12-23T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Luxport Export Ltd.,Firm,"China, Hong Kong Special Administrative Region"," Uzbekistan",2020-12-23T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Elgrao S.A.,Firm,Panama," Panama",2020-12-23T00:00,2030-12-22 00:00:00," Corruption, Fraud",IDB,Debarment,SOFF,Sanctions Officer
Grupo Oligarry S.A.,Firm,Spain," Panama",2020-12-23T00:00,2029-12-22 00:00:00," Corruption, Fraud",IDB,Debarment,SOFF,Sanctions Officer
Grupo Oligarry Panamá S.A.,Firm,Panama," Panama",2020-12-23T00:00,2029-12-22 00:00:00," Corruption, Fraud",IDB,Debarment,SOFF,Sanctions Officer
Agustín Olivares Garrigós,Individual,Spain," Panama",2020-12-23T00:00,2029-12-22 00:00:00," Corruption, Fraud",IDB,Debarment,SOFF,Sanctions Officer
Francisco Sánchez Martín,Individual,Spain," Panama",2020-12-23T00:00,2025-12-22 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Speedtech Energy Burkina Faso S.A.,Firm,Burkina Faso," Burkina Faso",2021-01-04T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
VN1 Industrial Group JSC,Firm,Vietnam," Vietnam",2021-01-21T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
TR Construya S.L.U.,Firm,Spain," Panama",2021-02-09T00:00,2028-02-08 00:00:00," Corruption, Fraud",IDB,Debarment,SOFF,Sanctions Officer
Juan José Acosta González,Individual,Spain," Panama",2021-02-09T00:00,2028-02-08 00:00:00," Corruption, Fraud",IDB,Debarment,SOFF,Sanctions Officer
"TR Construya Panamá, S.A.",Firm,Panama," Panama",2021-02-09T00:00,2028-02-08 00:00:00," Corruption, Fraud",IDB,Debarment,SOFF,Sanctions Officer
Global Interjapan (Kenya) Limited,Firm,Kenya," Kenya",2021-03-08T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
PT. Aris Makmur Mandiri,Firm,Indonesia," Indonesia",2021-03-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
PT. Bina Cipta Utama,Firm,Indonesia," Indonesia",2021-03-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Hunan Allonward Hydro-Generating Equipment Co., Ltd.",Firm,China," Regional",2021-03-24T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Allonward Hydro-Generating Equipment (Hongkong) Co., Ltd.",Firm,"China, Hong Kong Special Administrative Region"," Regional",2021-03-24T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
A2Z Infraservices Ltd.,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
A2Z Powercom Ltd.,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Magic Genie Services Ltd.,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Chavan Rishi International Ltd.,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mansi Bijlee & Rice Mills Ltd.,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Ecogreen Envirotech Solutions Ltd.,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
A2Z Infraservices Lanka Pvt. Ltd.,Firm,Sri Lanka," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
A2Z Waste Management (Aligarh) Ltd,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
A2Z Waste Management (Ludhiana) Ltd.,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Magic Genie Smartech Solutions Ltd.,Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Rishikesh  Waste Management Ltd. (Formerly known as A2Z Powertech Ltd.),Firm,India," India",2021-03-25T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mustafa Haji Alwy,Individual,Indonesia," Regional",2021-04-14T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
A K M Shahid Ullah,Individual,Bangladesh," Regional",2021-04-14T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Hikma Construction and General Trading Company,Firm,Somalia," Somalia",2021-04-22T00:00,2027-04-05 00:00:00," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Klemen Jerin,Individual,Germany," Democratic Republic of the Congo",2021-04-22T00:00,2025-08-24 00:00:00," Corruption",WBG cross debarment,NULL,NULL,NULL
Maxicare Company Nigeria Limited,Firm,Nigeria," Regional",2021-05-19T00:00,Ongoing," Fraud, Collusion",AfDB cross debarment,NULL,NULL,NULL
A2Z Waste Management (Nainital) Private Limited,Firm,India," India",2021-06-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
A2Z Waste Management (Jaipur) Limited,Firm,India," India",2021-06-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Asbeco Nigeria Ltd.,Firm,Nigeria," Nigeria",2021-06-16T00:00,2026-05-24 00:00:00," Corruption",WBG cross debarment,NULL,NULL,NULL
M/S Belal & Brother's,Firm,Bangladesh," Bangladesh",2021-06-16T00:00,2027-02-12 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
Md. Billal Hossain,Individual,Bangladesh," Bangladesh",2021-06-16T00:00,2027-02-12 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
Hoang Mai Construction Import and Export Joint Stock Company,Firm,Vietnam," Vietnam",2021-06-16T00:00,2026-11-27 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
"DŨNG, Đoàn Anh",Individual,Vietnam," Vietnam",2021-06-16T00:00,2026-11-27 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
Sujit Das,Individual,Liberia," Liberia",2021-06-23T00:00,2029-06-07 00:00:00," Fraud, Obstruction",WBG cross debarment,Debarment,NULL,NULL
Odelga Med Ges.M.B.H.,Firm,Austria," Romania",2021-06-23T00:00,2027-06-07 00:00:00," Corruption, Fraud",WBG cross debarment,Debarment,NULL,NULL
"Hangzhou Fenghui Power Station Construction Management Co., Ltd.",Firm,China," China",2021-06-30T00:00,Ongoing," Corruption, Fraud",WBG cross debarment,NULL,NULL,NULL
Crosswords Ltd.,Firm,Liberia," Liberia",2021-07-16T00:00,2027-06-28 00:00:00," Fraud, Obstruction",WBG cross debarment,Debarment,NULL,NULL
Tuan Hung Ltd.,Firm,Vietnam," Vietnam",2021-07-28T00:00,2026-07-15 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
Tuan Luu Duc,Individual,Vietnam," Vietnam",2021-07-28T00:00,2026-07-15 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
"Technique Import Export Joint Stock (""Technimex"") Company",Firm,Vietnam," Vietnam",2021-08-25T00:00,2026-08-09 00:00:00," Collusion",WBG cross debarment,NULL,NULL,NULL
Newstech Vietnam Trading and Investment Construction Joint Stock Company (,Firm,Vietnam," Vietnam",2021-09-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Sargittarius Henan Water Conservancy Engineering Ltd,Firm,Nigeria," Nigeria",2021-09-01T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
Noah Rosenkrantz,Individual,United States of America," Barbados",2021-09-20T00:00,2029-09-19 00:00:00," Corruption, Fraud",IDB,Debarment,SCOM,Sanctions Committee
Christopher Thibedeau,Individual,Canada," Barbados",2021-09-20T00:00,2025-09-19 00:00:00," Collusion",IDB,Debarment,SCOM,Sanctions Committee
TTEK Inc.,Firm,Barbados," Barbados",2021-09-20T00:00,2025-09-19 00:00:00," Collusion",IDB,Debarment,SCOM,Sanctions Committee
SDC Consulting Co. Limited Cambodia,Firm,Cambodia," Cambodia",2011-07-12T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Yuehua Bai,Individual,Kenya," Kenya",2021-10-25T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
Middle South Union Electric Co. Ltd. (MSUEC),Firm,China," Bangladesh",2018-02-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Asesores Bypsa,Firm,Venezuela," Venezuela",2021-10-27T00:00,2031-10-26 00:00:00," Corruption",IDB,Debarment,NRAG,NRA (Negotiated Resolution Agreement)
BFG Consulting Limited,Firm,British Virgin Islands," Venezuela",2021-10-27T00:00,2031-10-26 00:00:00," Corruption",IDB,Debarment,NRAG,NRA (Negotiated Resolution Agreement)
Digimax Services Limited,Firm,"China, Hong Kong Special Administrative Region"," Venezuela",2021-10-27T00:00,2031-10-26 00:00:00," Corruption",IDB,Debarment,NRAG,NRA (Negotiated Resolution Agreement)
Orange Capital Limited,Firm,"China, Hong Kong Special Administrative Region"," Venezuela",2021-10-27T00:00,2031-10-26 00:00:00," Corruption",IDB,Debarment,NRAG,NRA (Negotiated Resolution Agreement)
Omar Enrique Álvarez Escorcia,Individual,Colombia," Colombia",2021-11-08T00:00,2030-11-07 00:00:00," Fraud, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Mediredes S.A.S. o Gestión y Proyectos Construcciones Group S.A.S.,Firm,Colombia," Colombia",2021-11-08T00:00,2035-11-07 00:00:00," Fraud, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Harry Villalobos Tejada,Individual,Colombia," Colombia",2021-11-08T00:00,2035-11-07 00:00:00," Fraud, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Tractebel Engineering S.A.,Firm,Belgium," Haiti",2021-11-29T00:00,2025-09-28 00:00:00," Corruption, Fraud",IDB,Debarment,NRAG,NRA (Negotiated Resolution Agreement)
Walterio Romero Valladares,Individual,Honduras," Honduras",2021-11-22T00:00,2033-11-21 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Africa Development Professional Group Ltd.,Firm,Kenya," Somalia",2021-11-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Abdulhamit Ademhan,Individual,Turkey," Georgia",2021-11-29T00:00,2025-02-06 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
Ademhan Makine Tarim Insaat Gida Nakliyat Ihracaat Sanayi Ve Ticaret Limited Sirketi,Firm,Turkey," Georgia",2021-11-29T00:00,2025-02-06 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
Agus Bastoni,Individual,Indonesia," Indonesia",2021-11-29T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Ingenieros Consultores y Asesores Técnicos Sociedad de Responsabilidad Limitada de Capital Variable (INCAT S. de R.L. de C.V.),Firm,Honduras," Honduras",2021-11-22T00:00,2033-11-21 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
TPF Getinsa Euroestudios S.L.,Firm,Spain," Vietnam",2021-12-15T00:00,2027-11-28 00:00:00," Fraud, Obstruction",WBG cross debarment,NULL,NULL,NULL
Getinsa Ingenieria Vietnam Co. Ltd.,Firm,Vietnam," Vietnam",2021-12-15T00:00,2027-11-28 00:00:00," Fraud",WBG cross debarment,NULL,NULL,NULL
Sacha Brenckenfeld Reck,Individual,Brazil," Brazil",2021-12-27T00:00,2029-12-26 00:00:00," Collusion",IDB,Debarment,SOFF,Sanctions Officer
Thai Son Traffic Work Construction JSC (formerly Hang An Group JSC),Firm,Vietnam," Vietnam",2022-01-18T00:00,2028-06-05 00:00:00," Fraud, Obstruction",WBG cross debarment,Debarment w/ conditional release,NULL,NULL
KogonNefteGazEnergoService LLC,Firm,Uzbekistan," Uzbekistan",2022-02-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
JV KogonRemStroyKomplekt LLC,Firm,Uzbekistan," Uzbekistan",2022-02-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
PT. Tirta Wijaya Karya (,Firm,Indonesia," Indonesia",2022-02-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
PT. Karuniaguna Intisemesta,Firm,Indonesia," Indonesia",2022-02-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
